郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計),當月：105年12月，當年累計：105年01~12月
100,中正區,1表燈非營業用,"60,201 ","1,231 ","22,285,708 ","299,609,735 ",
100,中正區,2表燈營業用,"9,893 ","18,425 ","17,828,020 ","197,226,748 ",
100,中正區,3表燈小計,**,"19,656 ","40,113,728 ","496,836,483 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"14,742 ","203,497 ",
100,中正區,5低壓綜合需量非營業用,687 ,"30,074 ","4,528,696 ","56,939,063 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,291 ","4,543,438 ","57,142,560 ",
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","115,255 ","1,473,301 ",
100,中正區,8低壓綜合需量營業用,912 ,"39,874 ","8,159,002 ","103,771,467 ",
100,中正區,9低壓綜合營業用電小計,**,"40,991 ","8,274,257 ","105,244,768 ",
100,中正區,10低壓綜合用電小計,**,"71,282 ","12,817,695 ","162,387,328 ",
100,中正區,11低壓裝置電力,246 ,"2,579 ","215,502 ","3,200,832 ",
100,中正區,12低壓需量電力,6 ,107 ,"7,696 ","104,379 ",
100,中正區,13低壓電力小計,**,"2,686 ","223,198 ","3,305,211 ",
100,中正區,14高壓電力,295 ,"222,513 ","62,966,282 ","827,285,660 ",
100,中正區,15特高壓電力,*,"18,040 ","8,757,400 ","111,099,800 ",
100,中正區,16高＆特高壓電力小計,**,"240,553 ","71,723,682 ","938,385,460 ",
100,中正區,17電力小計,**,"243,239 ","71,946,880 ","941,690,671 ",
100,中正區,18綜合＆電力小計,**,"314,521 ","84,764,575 ","1,104,077,999 ",
100,中正區,19電燈＆綜合＆電力小計,**,"334,177 ","124,878,303 ","1,600,914,482 ",
100,中正區,20臨時電燈,33 ,0 ,"44,159 ","651,445 ",
100,中正區,21臨時電力,21 ,"1,235 ","142,061 ","2,866,436 ",
100,中正區,22臨時用電小計,**,"1,235 ","186,220 ","3,517,881 ",
100,中正區,23總計（含臨時用電）,**,"334,177 ","125,064,523 ","1,604,432,363 ",
100,中正區,24表燈合計,**,"19,656 ","40,157,887 ","497,487,928 ",
100,中正區,25綜合＆電力合計,**,"314,521 ","84,906,636 ","1,106,944,435 ",
103,大同區,1表燈非營業用,"52,733 ",378 ,"16,462,260 ","232,148,830 ",
103,大同區,2表燈營業用,"10,640 ","8,295 ","12,158,557 ","139,328,924 ",
103,大同區,3表燈小計,**,"8,673 ","28,620,817 ","371,477,754 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,428 ,"15,805 ","2,265,297 ","28,457,955 ",
103,大同區,6低壓綜合非營業用電小計,**,"15,805 ","2,265,297 ","28,457,955 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"77,282 ","1,046,986 ",
103,大同區,8低壓綜合需量營業用,459 ,"19,240 ","3,991,772 ","51,075,255 ",
103,大同區,9低壓綜合營業用電小計,**,"19,985 ","4,069,054 ","52,122,241 ",
103,大同區,10低壓綜合用電小計,**,"35,790 ","6,334,351 ","80,580,196 ",
103,大同區,11低壓裝置電力,263 ,"2,376 ","135,442 ","2,123,563 ",
103,大同區,12低壓需量電力,25 ,820 ,"105,944 ","1,464,636 ",
103,大同區,13低壓電力小計,**,"3,196 ","241,386 ","3,588,199 ",
103,大同區,14高壓電力,88 ,"45,355 ","12,641,765 ","165,782,853 ",
103,大同區,15特高壓電力,*,"25,608 ","11,998,400 ","150,502,400 ",
103,大同區,16高＆特高壓電力小計,**,"70,963 ","24,640,165 ","316,285,253 ",
103,大同區,17電力小計,**,"74,159 ","24,881,551 ","319,873,452 ",
103,大同區,18綜合＆電力小計,**,"109,949 ","31,215,902 ","400,453,648 ",
103,大同區,19電燈＆綜合＆電力小計,**,"118,622 ","59,836,719 ","771,931,402 ",
103,大同區,20臨時電燈,19 ,0 ,"21,972 ","218,637 ",
103,大同區,21臨時電力,16 ,"1,288 ","152,379 ","1,701,712 ",
103,大同區,22臨時用電小計,**,"1,288 ","174,351 ","1,920,349 ",
103,大同區,23總計（含臨時用電）,**,"118,622 ","60,011,070 ","773,851,751 ",
103,大同區,24表燈合計,**,"8,673 ","28,642,789 ","371,696,391 ",
103,大同區,25綜合＆電力合計,**,"109,949 ","31,368,281 ","402,155,360 ",
104,中山區,1表燈非營業用,"111,131 ","1,392 ","38,687,289 ","548,834,678 ",
104,中山區,2表燈營業用,"21,101 ","41,350 ","39,997,606 ","446,953,125 ",
104,中山區,3表燈小計,**,"42,742 ","78,684,895 ","995,787,803 ",
104,中山區,4低壓綜合裝置非營業用,*,130 ,"10,531 ","117,469 ",
104,中山區,5低壓綜合需量非營業用,"1,228 ","47,138 ","7,383,379 ","92,106,022 ",
104,中山區,6低壓綜合非營業用電小計,**,"47,268 ","7,393,910 ","92,223,491 ",
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","182,860 ","2,358,950 ",
104,中山區,8低壓綜合需量營業用,"1,570 ","71,724 ","15,688,380 ","194,706,001 ",
104,中山區,9低壓綜合營業用電小計,**,"73,346 ","15,871,240 ","197,064,951 ",
104,中山區,10低壓綜合用電小計,**,"120,614 ","23,265,150 ","289,288,442 ",
104,中山區,11低壓裝置電力,225 ,"2,581 ","186,388 ","2,596,999 ",
104,中山區,12低壓需量電力,8 ,642 ,"101,532 ","1,283,344 ",
104,中山區,13低壓電力小計,**,"3,223 ","287,920 ","3,880,343 ",
104,中山區,14高壓電力,319 ,"210,225 ","57,217,296 ","746,608,060 ",
104,中山區,15特高壓電力,*,"24,200 ","7,368,000 ","95,720,000 ",
104,中山區,16高＆特高壓電力小計,**,"234,425 ","64,585,296 ","842,328,060 ",
104,中山區,17電力小計,**,"237,648 ","64,873,216 ","846,208,403 ",
104,中山區,18綜合＆電力小計,**,"358,262 ","88,138,366 ","1,135,496,845 ",
104,中山區,19電燈＆綜合＆電力小計,**,"401,004 ","166,823,261 ","2,131,284,648 ",
104,中山區,20臨時電燈,33 ,0 ,"41,051 ","546,616 ",
104,中山區,21臨時電力,31 ,"1,925 ","198,852 ","2,330,346 ",
104,中山區,22臨時用電小計,**,"1,925 ","239,903 ","2,876,962 ",
104,中山區,23總計（含臨時用電）,**,"401,004 ","167,063,164 ","2,134,161,610 ",
104,中山區,24表燈合計,**,"42,742 ","78,725,946 ","996,334,419 ",
104,中山區,25綜合＆電力合計,**,"358,262 ","88,337,218 ","1,137,827,191 ",
105,松山區,1表燈非營業用,"72,461 ","1,152 ","33,146,345 ","374,072,945 ",
105,松山區,2表燈營業用,"11,672 ","20,235 ","25,153,069 ","254,533,455 ",
105,松山區,3表燈小計,**,"21,387 ","58,299,414 ","628,606,400 ",
105,松山區,4低壓綜合裝置非營業用,*,137 ,"5,846 ","77,332 ",
105,松山區,5低壓綜合需量非營業用,546 ,"21,730 ","3,876,169 ","46,375,963 ",
105,松山區,6低壓綜合非營業用電小計,**,"21,867 ","3,882,015 ","46,453,295 ",
105,松山區,7低壓綜合裝置營業用,*,154 ,"9,960 ","230,604 ",
105,松山區,8低壓綜合需量營業用,821 ,"40,089 ","8,917,027 ","109,883,867 ",
105,松山區,9低壓綜合營業用電小計,**,"40,243 ","8,926,987 ","110,114,471 ",
105,松山區,10低壓綜合用電小計,**,"62,110 ","12,809,002 ","156,567,766 ",
105,松山區,11低壓裝置電力,62 ,561 ,"38,316 ","544,240 ",
105,松山區,12低壓需量電力,12 ,652 ,"130,117 ","1,645,498 ",
105,松山區,13低壓電力小計,**,"1,213 ","168,433 ","2,189,738 ",
105,松山區,14高壓電力,159 ,"131,296 ","35,485,483 ","468,870,475 ",
105,松山區,15特高壓電力,*,"8,600 ","3,940,800 ","51,220,800 ",
105,松山區,16高＆特高壓電力小計,**,"139,896 ","39,426,283 ","520,091,275 ",
105,松山區,17電力小計,**,"141,109 ","39,594,716 ","522,281,013 ",
105,松山區,18綜合＆電力小計,**,"203,219 ","52,403,718 ","678,848,779 ",
105,松山區,19電燈＆綜合＆電力小計,**,"224,606 ","110,703,132 ","1,307,455,179 ",
105,松山區,20臨時電燈,11 ,0 ,"13,111 ","119,297 ",
105,松山區,21臨時電力,15 ,975 ,"153,480 ","1,491,793 ",
105,松山區,22臨時用電小計,**,975 ,"166,591 ","1,611,090 ",
105,松山區,23總計（含臨時用電）,**,"224,606 ","110,869,723 ","1,309,066,269 ",
105,松山區,24表燈合計,**,"21,387 ","58,312,525 ","628,725,697 ",
105,松山區,25綜合＆電力合計,**,"203,219 ","52,557,198 ","680,340,572 ",
106,大安區,1表燈非營業用,"110,908 ","1,734 ","34,416,246 ","611,144,095 ",
106,大安區,2表燈營業用,"17,393 ","41,892 ","25,276,282 ","384,786,334 ",
106,大安區,3表燈小計,**,"43,626 ","59,692,528 ","995,930,429 ",
106,大安區,4低壓綜合裝置非營業用,6 ,235 ,"13,268 ","193,986 ",
106,大安區,5低壓綜合需量非營業用,"1,070 ","40,731 ","6,267,525 ","82,646,376 ",
106,大安區,6低壓綜合非營業用電小計,**,"40,966 ","6,280,793 ","82,840,362 ",
106,大安區,7低壓綜合裝置營業用,11 ,398 ,"72,795 ","1,007,480 ",
106,大安區,8低壓綜合需量營業用,"1,456 ","64,633 ","12,715,938 ","170,799,033 ",
106,大安區,9低壓綜合營業用電小計,**,"65,031 ","12,788,733 ","171,806,513 ",
106,大安區,10低壓綜合用電小計,**,"105,997 ","19,069,526 ","254,646,875 ",
106,大安區,11低壓裝置電力,129 ,"1,496 ","133,608 ","2,011,532 ",
106,大安區,12低壓需量電力,*,296 ,"52,638 ","633,370 ",
106,大安區,13低壓電力小計,**,"1,792 ","186,246 ","2,644,902 ",
106,大安區,14高壓電力,281 ,"206,572 ","57,333,105 ","760,857,272 ",
106,大安區,15特高壓電力,*,"23,095 ","8,922,563 ","105,993,033 ",
106,大安區,16高＆特高壓電力小計,**,"229,667 ","66,255,668 ","866,850,305 ",
106,大安區,17電力小計,**,"231,459 ","66,441,914 ","869,495,207 ",
106,大安區,18綜合＆電力小計,**,"337,456 ","85,511,440 ","1,124,142,082 ",
106,大安區,19電燈＆綜合＆電力小計,**,"381,082 ","145,203,968 ","2,120,072,511 ",
106,大安區,20臨時電燈,17 ,0 ,"30,157 ","892,898 ",
106,大安區,21臨時電力,30 ,"2,513 ","363,065 ","4,633,383 ",
106,大安區,22臨時用電小計,**,"2,513 ","393,222 ","5,526,281 ",
106,大安區,23總計（含臨時用電）,**,"381,082 ","145,597,190 ","2,125,598,792 ",
106,大安區,24表燈合計,**,"43,626 ","59,722,685 ","996,823,327 ",
106,大安區,25綜合＆電力合計,**,"337,456 ","85,874,505 ","1,128,775,465 ",
108,萬華區,1表燈非營業用,"77,587 ","1,036 ","24,434,236 ","324,801,556 ",
108,萬華區,2表燈營業用,"9,169 ","15,775 ","11,177,534 ","143,243,130 ",
108,萬華區,3表燈小計,**,"16,811 ","35,611,770 ","468,044,686 ",
108,萬華區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
108,萬華區,5低壓綜合需量非營業用,337 ,"11,489 ","1,768,530 ","21,599,845 ",
108,萬華區,6低壓綜合非營業用電小計,**,"11,489 ","1,768,530 ","21,599,845 ",
108,萬華區,7低壓綜合裝置營業用,36 ,"1,646 ","230,181 ","3,124,178 ",
108,萬華區,8低壓綜合需量營業用,710 ,"23,711 ","5,542,422 ","71,025,490 ",
108,萬華區,9低壓綜合營業用電小計,**,"25,357 ","5,772,603 ","74,149,668 ",
108,萬華區,10低壓綜合用電小計,**,"36,846 ","7,541,133 ","95,749,513 ",
108,萬華區,11低壓裝置電力,298 ,"3,141 ","270,483 ","4,015,856 ",
108,萬華區,12低壓需量電力,39 ,"1,326 ","198,215 ","2,433,723 ",
108,萬華區,13低壓電力小計,**,"4,467 ","468,698 ","6,449,579 ",
108,萬華區,14高壓電力,108 ,"45,395 ","12,574,754 ","163,273,349 ",
108,萬華區,15特高壓電力,*,0 ,0 ,0 ,
108,萬華區,16高＆特高壓電力小計,**,"45,395 ","12,574,754 ","163,273,349 ",
108,萬華區,17電力小計,**,"49,862 ","13,043,452 ","169,722,928 ",
108,萬華區,18綜合＆電力小計,**,"86,708 ","20,584,585 ","265,472,441 ",
108,萬華區,19電燈＆綜合＆電力小計,**,"103,519 ","56,196,355 ","733,517,127 ",
108,萬華區,20臨時電燈,14 ,0 ,"26,955 ","285,981 ",
108,萬華區,21臨時電力,16 ,"1,021 ","157,400 ","1,942,080 ",
108,萬華區,22臨時用電小計,**,"1,021 ","184,355 ","2,228,061 ",
108,萬華區,23總計（含臨時用電）,**,"103,519 ","56,380,710 ","735,745,188 ",
108,萬華區,24表燈合計,**,"16,811 ","35,638,725 ","468,330,667 ",
108,萬華區,25綜合＆電力合計,**,"86,708 ","20,741,985 ","267,414,521 ",
110,信義區,1表燈非營業用,"84,374 ",833 ,"20,865,927 ","417,712,520 ",
110,信義區,2表燈營業用,"10,283 ","13,843 ","11,193,771 ","183,353,685 ",
110,信義區,3表燈小計,**,"14,676 ","32,059,698 ","601,066,205 ",
110,信義區,4低壓綜合裝置非營業用,*,138 ,"4,280 ","52,280 ",
110,信義區,5低壓綜合需量非營業用,558 ,"25,876 ","4,058,350 ","54,742,460 ",
110,信義區,6低壓綜合非營業用電小計,**,"26,014 ","4,062,630 ","54,794,740 ",
110,信義區,7低壓綜合裝置營業用,*,28 ,"7,928 ","108,945 ",
110,信義區,8低壓綜合需量營業用,554 ,"24,921 ","5,433,178 ","69,258,967 ",
110,信義區,9低壓綜合營業用電小計,**,"24,949 ","5,441,106 ","69,367,912 ",
110,信義區,10低壓綜合用電小計,**,"50,963 ","9,503,736 ","124,162,652 ",
110,信義區,11低壓裝置電力,22 ,234 ,"32,447 ","419,756 ",
110,信義區,12低壓需量電力,6 ,705 ,"141,291 ","1,893,803 ",
110,信義區,13低壓電力小計,**,939 ,"173,738 ","2,313,559 ",
110,信義區,14高壓電力,143 ,"199,171 ","59,943,176 ","774,248,693 ",
110,信義區,15特高壓電力,*,"7,825 ","3,254,400 ","36,643,200 ",
110,信義區,16高＆特高壓電力小計,**,"206,996 ","63,197,576 ","810,891,893 ",
110,信義區,17電力小計,**,"207,935 ","63,371,314 ","813,205,452 ",
110,信義區,18綜合＆電力小計,**,"258,898 ","72,875,050 ","937,368,104 ",
110,信義區,19電燈＆綜合＆電力小計,**,"273,574 ","104,934,748 ","1,538,434,309 ",
110,信義區,20臨時電燈,9 ,0 ,"21,718 ","112,630 ",
110,信義區,21臨時電力,26 ,"3,385 ","554,090 ","5,702,407 ",
110,信義區,22臨時用電小計,**,"3,385 ","575,808 ","5,815,037 ",
110,信義區,23總計（含臨時用電）,**,"273,574 ","105,510,556 ","1,544,249,346 ",
110,信義區,24表燈合計,**,"14,676 ","32,081,416 ","601,178,835 ",
110,信義區,25綜合＆電力合計,**,"258,898 ","73,429,140 ","943,070,511 ",
111,士林區,1表燈非營業用,"107,198 ","2,068 ","38,845,657 ","553,191,622 ",
111,士林區,2表燈營業用,"9,683 ","18,335 ","12,353,558 ","188,270,499 ",
111,士林區,3表燈小計,**,"20,403 ","51,199,215 ","741,462,121 ",
111,士林區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
111,士林區,5低壓綜合需量非營業用,653 ,"24,503 ","3,629,656 ","44,720,229 ",
111,士林區,6低壓綜合非營業用電小計,**,"24,503 ","3,629,656 ","44,720,229 ",
111,士林區,7低壓綜合裝置營業用,*,47 ,"5,941 ","75,604 ",
111,士林區,8低壓綜合需量營業用,816 ,"30,315 ","6,261,849 ","80,857,008 ",
111,士林區,9低壓綜合營業用電小計,**,"30,362 ","6,267,790 ","80,932,612 ",
111,士林區,10低壓綜合用電小計,**,"54,865 ","9,897,446 ","125,652,841 ",
111,士林區,11低壓裝置電力,114 ,"1,489 ","140,692 ","2,072,857 ",
111,士林區,12低壓需量電力,120 ,"5,959 ","904,600 ","10,814,895 ",
111,士林區,13低壓電力小計,**,"7,448 ","1,045,292 ","12,887,752 ",
111,士林區,14高壓電力,140 ,"98,047 ","26,194,477 ","336,398,125 ",
111,士林區,15特高壓電力,*,0 ,0 ,0 ,
111,士林區,16高＆特高壓電力小計,**,"98,047 ","26,194,477 ","336,398,125 ",
111,士林區,17電力小計,**,"105,495 ","27,239,769 ","349,285,877 ",
111,士林區,18綜合＆電力小計,**,"160,360 ","37,137,215 ","474,938,718 ",
111,士林區,19電燈＆綜合＆電力小計,**,"180,763 ","88,336,430 ","1,216,400,839 ",
111,士林區,20臨時電燈,60 ,0 ,"58,724 ","1,010,100 ",
111,士林區,21臨時電力,21 ,"1,506 ","152,440 ","3,331,354 ",
111,士林區,22臨時用電小計,**,"1,506 ","211,164 ","4,341,454 ",
111,士林區,23總計（含臨時用電）,**,"180,763 ","88,547,594 ","1,220,742,293 ",
111,士林區,24表燈合計,**,"20,403 ","51,257,939 ","742,472,221 ",
111,士林區,25綜合＆電力合計,**,"160,360 ","37,289,655 ","478,270,072 ",
112,北投區,1表燈非營業用,"93,881 ","1,058 ","42,495,496 ","412,136,524 ",
112,北投區,2表燈營業用,"5,961 ","9,339 ","14,093,164 ","118,995,583 ",
112,北投區,3表燈小計,**,"10,397 ","56,588,660 ","531,132,107 ",
112,北投區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
112,北投區,5低壓綜合需量非營業用,631 ,"20,533 ","2,929,563 ","36,841,805 ",
112,北投區,6低壓綜合非營業用電小計,**,"20,533 ","2,929,563 ","36,841,805 ",
112,北投區,7低壓綜合裝置營業用,*,70 ,"7,320 ","52,620 ",
112,北投區,8低壓綜合需量營業用,427 ,"20,959 ","4,864,505 ","60,924,582 ",
112,北投區,9低壓綜合營業用電小計,**,"21,029 ","4,871,825 ","60,977,202 ",
112,北投區,10低壓綜合用電小計,**,"41,562 ","7,801,388 ","97,819,007 ",
112,北投區,11低壓裝置電力,66 ,801 ,"100,299 ","1,242,648 ",
112,北投區,12低壓需量電力,96 ,"5,358 ","747,013 ","9,277,494 ",
112,北投區,13低壓電力小計,**,"6,159 ","847,312 ","10,520,142 ",
112,北投區,14高壓電力,124 ,"98,898 ","32,199,251 ","417,645,520 ",
112,北投區,15特高壓電力,*,"10,537 ","4,512,988 ","58,837,534 ",
112,北投區,16高＆特高壓電力小計,**,"109,435 ","36,712,239 ","476,483,054 ",
112,北投區,17電力小計,**,"115,594 ","37,559,551 ","487,003,196 ",
112,北投區,18綜合＆電力小計,**,"157,156 ","45,360,939 ","584,822,203 ",
112,北投區,19電燈＆綜合＆電力小計,**,"167,553 ","101,949,599 ","1,115,954,310 ",
112,北投區,20臨時電燈,39 ,0 ,"38,584 ","541,329 ",
112,北投區,21臨時電力,37 ,"1,856 ","282,721 ","4,066,433 ",
112,北投區,22臨時用電小計,**,"1,856 ","321,305 ","4,607,762 ",
112,北投區,23總計（含臨時用電）,**,"167,553 ","102,270,904 ","1,120,562,072 ",
112,北投區,24表燈合計,**,"10,397 ","56,627,244 ","531,673,436 ",
112,北投區,25綜合＆電力合計,**,"157,156 ","45,643,660 ","588,888,636 ",
114,內湖區,1表燈非營業用,"103,198 ",527 ,"34,156,909 ","486,945,098 ",
114,內湖區,2表燈營業用,"13,208 ","21,388 ","11,795,596 ","345,837,096 ",
114,內湖區,3表燈小計,**,"21,915 ","45,952,505 ","832,782,194 ",
114,內湖區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
114,內湖區,5低壓綜合需量非營業用,"1,149 ","50,261 ","8,229,515 ","104,058,612 ",
114,內湖區,6低壓綜合非營業用電小計,**,"50,261 ","8,229,515 ","104,058,612 ",
114,內湖區,7低壓綜合裝置營業用,*,0 ,0 ,0 ,
114,內湖區,8低壓綜合需量營業用,"1,763 ","111,004 ","24,915,465 ","307,180,779 ",
114,內湖區,9低壓綜合營業用電小計,**,"111,004 ","24,915,465 ","307,180,779 ",
114,內湖區,10低壓綜合用電小計,**,"161,265 ","33,144,980 ","411,239,391 ",
114,內湖區,11低壓裝置電力,21 ,175 ,"6,697 ","104,118 ",
114,內湖區,12低壓需量電力,343 ,"12,976 ","2,642,674 ","31,777,964 ",
114,內湖區,13低壓電力小計,**,"13,151 ","2,649,371 ","31,882,082 ",
114,內湖區,14高壓電力,163 ,"135,649 ","49,809,814 ","630,535,030 ",
114,內湖區,15特高壓電力,*,"11,700 ","4,819,200 ","54,714,800 ",
114,內湖區,16高＆特高壓電力小計,**,"147,349 ","54,629,014 ","685,249,830 ",
114,內湖區,17電力小計,**,"160,500 ","57,278,385 ","717,131,912 ",
114,內湖區,18綜合＆電力小計,**,"321,765 ","90,423,365 ","1,128,371,303 ",
114,內湖區,19電燈＆綜合＆電力小計,**,"343,680 ","136,375,870 ","1,961,153,497 ",
114,內湖區,20臨時電燈,24 ,0 ,"8,922 ","262,005 ",
114,內湖區,21臨時電力,50 ,"4,599 ","750,087 ","8,652,177 ",
114,內湖區,22臨時用電小計,**,"4,599 ","759,009 ","8,914,182 ",
114,內湖區,23總計（含臨時用電）,**,"343,680 ","137,134,879 ","1,970,067,679 ",
114,內湖區,24表燈合計,**,"21,915 ","45,961,427 ","833,044,199 ",
114,內湖區,25綜合＆電力合計,**,"321,765 ","91,173,452 ","1,137,023,480 ",
115,南港區,1表燈非營業用,"44,115 ",63 ,"8,218,518 ","191,412,899 ",
115,南港區,2表燈營業用,"4,333 ","6,206 ","3,445,042 ","85,484,905 ",
115,南港區,3表燈小計,**,"6,269 ","11,663,560 ","276,897,804 ",
115,南港區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
115,南港區,5低壓綜合需量非營業用,360 ,"13,541 ","2,040,935 ","25,423,076 ",
115,南港區,6低壓綜合非營業用電小計,**,"13,541 ","2,040,935 ","25,423,076 ",
115,南港區,7低壓綜合裝置營業用,*,0 ,0 ,0 ,
115,南港區,8低壓綜合需量營業用,246 ,"12,978 ","2,811,358 ","34,634,458 ",
115,南港區,9低壓綜合營業用電小計,**,"12,978 ","2,811,358 ","34,634,458 ",
115,南港區,10低壓綜合用電小計,**,"26,519 ","4,852,293 ","60,057,534 ",
115,南港區,11低壓裝置電力,30 ,541 ,"54,379 ","642,852 ",
115,南港區,12低壓需量電力,150 ,"4,759 ","617,113 ","7,278,088 ",
115,南港區,13低壓電力小計,**,"5,300 ","671,492 ","7,920,940 ",
115,南港區,14高壓電力,86 ,"102,203 ","30,079,956 ","386,836,160 ",
115,南港區,15特高壓電力,*,"39,685 ","14,987,036 ","196,552,889 ",
115,南港區,16高＆特高壓電力小計,**,"141,888 ","45,066,992 ","583,389,049 ",
115,南港區,17電力小計,**,"147,188 ","45,738,484 ","591,309,989 ",
115,南港區,18綜合＆電力小計,**,"173,707 ","50,590,777 ","651,367,523 ",
115,南港區,19電燈＆綜合＆電力小計,**,"179,976 ","62,254,337 ","928,265,327 ",
115,南港區,20臨時電燈,9 ,0 ,"3,811 ","199,722 ",
115,南港區,21臨時電力,16 ,"1,719 ","406,104 ","4,414,640 ",
115,南港區,22臨時用電小計,**,"1,719 ","409,915 ","4,614,362 ",
115,南港區,23總計（含臨時用電）,**,"179,976 ","62,664,252 ","932,879,689 ",
115,南港區,24表燈合計,**,"6,269 ","11,667,371 ","277,097,526 ",
115,南港區,25綜合＆電力合計,**,"173,707 ","50,996,881 ","655,782,163 ",
116,文山區,1表燈非營業用,"99,872 ",357 ,"28,815,506 ","435,407,473 ",
116,文山區,2表燈營業用,"5,044 ","9,599 ","7,701,032 ","90,725,789 ",
116,文山區,3表燈小計,**,"9,956 ","36,516,538 ","526,133,262 ",
116,文山區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
116,文山區,5低壓綜合需量非營業用,796 ,"24,693 ","3,346,695 ","42,653,100 ",
116,文山區,6低壓綜合非營業用電小計,**,"24,693 ","3,346,695 ","42,653,100 ",
116,文山區,7低壓綜合裝置營業用,*,74 ,"7,736 ","100,220 ",
116,文山區,8低壓綜合需量營業用,314 ,"10,628 ","2,514,789 ","33,000,694 ",
116,文山區,9低壓綜合營業用電小計,**,"10,702 ","2,522,525 ","33,100,914 ",
116,文山區,10低壓綜合用電小計,**,"35,395 ","5,869,220 ","75,754,014 ",
116,文山區,11低壓裝置電力,28 ,297 ,"65,069 ","864,829 ",
116,文山區,12低壓需量電力,25 ,992 ,"146,669 ","1,918,711 ",
116,文山區,13低壓電力小計,**,"1,289 ","211,738 ","2,783,540 ",
116,文山區,14高壓電力,98 ,"45,356 ","10,460,256 ","140,039,444 ",
116,文山區,15特高壓電力,*,"24,796 ","9,019,149 ","115,062,078 ",
116,文山區,16高＆特高壓電力小計,**,"70,152 ","19,479,405 ","255,101,522 ",
116,文山區,17電力小計,**,"71,441 ","19,691,143 ","257,885,062 ",
116,文山區,18綜合＆電力小計,**,"106,836 ","25,560,363 ","333,639,076 ",
116,文山區,19電燈＆綜合＆電力小計,**,"116,792 ","62,076,901 ","859,772,338 ",
116,文山區,20臨時電燈,15 ,0 ,"8,757 ","183,091 ",
116,文山區,21臨時電力,29 ,"5,188 ","616,554 ","4,333,160 ",
116,文山區,22臨時用電小計,**,"5,188 ","625,311 ","4,516,251 ",
116,文山區,23總計（含臨時用電）,**,"116,792 ","62,702,212 ","864,288,589 ",
116,文山區,24表燈合計,**,"9,956 ","36,525,295 ","526,316,353 ",
116,文山區,25綜合＆電力合計,**,"106,836 ","26,176,917 ","337,972,236 ",
200,仁愛區,1表燈非營業用,"22,727 ",427 ,"7,275,301 ","82,678,729 ",
200,仁愛區,2表燈營業用,"3,214 ","5,398 ","4,074,698 ","49,475,134 ",
200,仁愛區,3表燈小計,**,"5,825 ","11,349,999 ","132,153,863 ",
200,仁愛區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
200,仁愛區,5低壓綜合需量非營業用,136 ,"3,765 ","465,376 ","5,690,243 ",
200,仁愛區,6低壓綜合非營業用電小計,**,"3,765 ","465,376 ","5,690,243 ",
200,仁愛區,7低壓綜合裝置營業用,*,106 ,"8,980 ","126,074 ",
200,仁愛區,8低壓綜合需量營業用,322 ,"9,796 ","2,093,387 ","27,771,508 ",
200,仁愛區,9低壓綜合營業用電小計,**,"9,902 ","2,102,367 ","27,897,582 ",
200,仁愛區,10低壓綜合用電小計,**,"13,667 ","2,567,743 ","33,587,825 ",
200,仁愛區,11低壓裝置電力,60 ,533 ,"53,469 ","791,020 ",
200,仁愛區,12低壓需量電力,14 ,395 ,"116,717 ","1,590,292 ",
200,仁愛區,13低壓電力小計,**,928 ,"170,186 ","2,381,312 ",
200,仁愛區,14高壓電力,25 ,"7,961 ","1,611,975 ","23,316,751 ",
200,仁愛區,15特高壓電力,*,0 ,0 ,0 ,
200,仁愛區,16高＆特高壓電力小計,**,"7,961 ","1,611,975 ","23,316,751 ",
200,仁愛區,17電力小計,**,"8,889 ","1,782,161 ","25,698,063 ",
200,仁愛區,18綜合＆電力小計,**,"22,556 ","4,349,904 ","59,285,888 ",
200,仁愛區,19電燈＆綜合＆電力小計,**,"28,381 ","15,699,903 ","191,439,751 ",
200,仁愛區,20臨時電燈,7 ,0 ,876 ,"81,640 ",
200,仁愛區,21臨時電力,*,0 ,0 ,0 ,
200,仁愛區,22臨時用電小計,**,0 ,876 ,"81,640 ",
200,仁愛區,23總計（含臨時用電）,**,"28,381 ","15,700,779 ","191,521,391 ",
200,仁愛區,24表燈合計,**,"5,825 ","11,350,875 ","132,235,503 ",
200,仁愛區,25綜合＆電力合計,**,"22,556 ","4,349,904 ","59,285,888 ",
201,信義區,1表燈非營業用,"25,002 ",279 ,"652,037 ","96,021,260 ",
201,信義區,2表燈營業用,"1,169 ","1,771 ","597,148 ","19,112,760 ",
201,信義區,3表燈小計,**,"2,050 ","1,249,185 ","115,134,020 ",
