郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,
110,信義區,1表燈非營業用　　　　,"84,059",695,"55,428,921",,
110,信義區,2表燈營業用　　　　　　,"10,247","11,918","23,671,657",,
110,信義區,3表燈小計　　　　　　　,**,"12,613","79,100,578",,
110,信義區,4低壓綜合裝置非營業用　,＊,138,"4,480",,
110,信義區,5低壓綜合需量非營業用　,552,"25,760","5,748,638",,
110,信義區,6低壓綜合非營業用電小計,**,"25,898","5,753,118",,
110,信義區,7低壓綜合裝置營業用　　,＊,28,"13,237",,
110,信義區,8低壓綜合需量營業用　　,545,"24,734","7,279,056",,
110,信義區,9低壓綜合營業用電小計　,**,"24,762","7,292,293",,
110,信義區,10低壓綜合用電小計　　　,**,"50,660","13,045,411",,
110,信義區,11低壓裝置電力　　　　　,24,241,"51,033",,
110,信義區,12低壓需量電力　　　　　,＊,630,"156,879",,
110,信義區,13低壓電力小計　　　　　,**,871,"207,912",,
110,信義區,14高壓電力　　　　　　　,144,"208,517","75,222,560",,
110,信義區,15特高壓電力　　　　　　,＊,"6,900","3,668,800",,
110,信義區,16高＆特高壓電力小計　　,**,"215,417","78,891,360",,
110,信義區,17電力小計　　　　　　　,**,"216,288","79,099,272",,
110,信義區,18綜合＆電力小計　　　　,**,"266,948","92,144,683",,
110,信義區,19電燈＆綜合＆電力小計　,**,"279,561","171,245,261",,
110,信義區,20臨時電燈　　　　　　　,10,0,630,,
110,信義區,21臨時電力　　　　　　　,25,"2,510","531,136",,
110,信義區,22臨時用電小計　　　　　,**,"2,510","531,766",,
110,信義區,23總計（含臨時用電）　　,**,"279,561","171,777,027",,
110,信義區,24表燈合計　　　　　　　,**,"12,613","79,101,208",,
110,信義區,25綜合＆電力合計　　　　,**,"266,948","92,675,819",,
111,士林區,1表燈非營業用　　　　,"106,313","1,602","58,100,187",,
111,士林區,2表燈營業用　　　　　　,"9,641","15,883","22,759,301",,
111,士林區,3表燈小計　　　　　　　,**,"17,485","80,859,488",,
111,士林區,4低壓綜合裝置非營業用　,＊,0,0,,
111,士林區,5低壓綜合需量非營業用　,625,"23,720","4,549,974",,
111,士林區,6低壓綜合非營業用電小計,**,"23,720","4,549,974",,
111,士林區,7低壓綜合裝置營業用　　,＊,47,"7,825",,
111,士林區,8低壓綜合需量營業用　　,837,"30,925","8,936,237",,
111,士林區,9低壓綜合營業用電小計　,**,"30,972","8,944,062",,
111,士林區,10低壓綜合用電小計　　　,**,"54,692","13,494,036",,
111,士林區,11低壓裝置電力　　　　　,117,"1,519","265,187",,
111,士林區,12低壓需量電力　　　　　,120,"5,438","1,122,098",,
111,士林區,13低壓電力小計　　　　　,**,"6,957","1,387,285",,
111,士林區,14高壓電力　　　　　　　,141,"98,427","33,166,519",,
111,士林區,15特高壓電力　　　　　　,＊,0,0,,
111,士林區,16高＆特高壓電力小計　　,**,"98,427","33,166,519",,
111,士林區,17電力小計　　　　　　　,**,"105,384","34,553,804",,
111,士林區,18綜合＆電力小計　　　　,**,"160,076","48,047,840",,
111,士林區,19電燈＆綜合＆電力小計　,**,"177,561","128,907,328",,
111,士林區,20臨時電燈　　　　　　　,60,0,"48,475",,
111,士林區,21臨時電力　　　　　　　,26,"1,646","402,788",,
111,士林區,22臨時用電小計　　　　　,**,"1,646","451,263",,
111,士林區,23總計（含臨時用電）　　,**,"177,561","129,358,591",,
111,士林區,24表燈合計　　　　　　　,**,"17,485","80,907,963",,
111,士林區,25綜合＆電力合計　　　　,**,"160,076","48,450,628",,
112,北投區,1表燈非營業用　　　　,"92,368",719,"20,543,233",,
112,北投區,2表燈營業用　　　　　　,"5,848","8,475","6,104,873",,
112,北投區,3表燈小計　　　　　　　,**,"9,194","26,648,106",,
112,北投區,4低壓綜合裝置非營業用　,＊,0,0,,
112,北投區,5低壓綜合需量非營業用　,596,"19,406","3,601,864",,
112,北投區,6低壓綜合非營業用電小計,**,"19,406","3,601,864",,
112,北投區,7低壓綜合裝置營業用　　,＊,70,"1,320",,
112,北投區,8低壓綜合需量營業用　　,431,"21,689","6,607,258",,
112,北投區,9低壓綜合營業用電小計　,**,"21,759","6,608,578",,
112,北投區,10低壓綜合用電小計　　　,**,"41,165","10,210,442",,
112,北投區,11低壓裝置電力　　　　　,66,801,"115,605",,
112,北投區,12低壓需量電力　　　　　,95,"4,626","937,998",,
112,北投區,13低壓電力小計　　　　　,**,"5,427","1,053,603",,
112,北投區,14高壓電力　　　　　　　,121,"94,545","40,648,603",,
112,北投區,15特高壓電力　　　　　　,＊,"10,537","5,511,629",,
112,北投區,16高＆特高壓電力小計　　,**,"105,082","46,160,232",,
112,北投區,17電力小計　　　　　　　,**,"110,509","47,213,835",,
112,北投區,18綜合＆電力小計　　　　,**,"151,674","57,424,277",,
112,北投區,19電燈＆綜合＆電力小計　,**,"160,868","84,072,383",,
112,北投區,20臨時電燈　　　　　　　,54,0,"59,940",,
112,北投區,21臨時電力　　　　　　　,54,"3,424","591,518",,
112,北投區,22臨時用電小計　　　　　,**,"3,424","651,458",,
112,北投區,23總計（含臨時用電）　　,**,"160,868","84,723,841",,
112,北投區,24表燈合計　　　　　　　,**,"9,194","26,708,046",,
112,北投區,25綜合＆電力合計　　　　,**,"151,674","58,015,795",,
114,內湖區,1表燈非營業用　　　　,"102,444",505,"48,019,205",,
114,內湖區,2表燈營業用　　　　　　,"12,733","17,040","54,256,603",,
114,內湖區,3表燈小計　　　　　　　,**,"17,545","102,275,808",,
114,內湖區,4低壓綜合裝置非營業用　,＊,0,0,,
114,內湖區,5低壓綜合需量非營業用　,"1,117","50,960","10,746,185",,
114,內湖區,6低壓綜合非營業用電小計,**,"50,960","10,746,185",,
114,內湖區,7低壓綜合裝置營業用　　,＊,0,0,,
114,內湖區,8低壓綜合需量營業用　　,"1,738","109,667","31,685,648",,
114,內湖區,9低壓綜合營業用電小計　,**,"109,667","31,685,648",,
114,內湖區,10低壓綜合用電小計　　　,**,"160,627","42,431,833",,
114,內湖區,11低壓裝置電力　　　　　,24,242,"16,645",,
114,內湖區,12低壓需量電力　　　　　,347,"12,771","3,123,343",,
114,內湖區,13低壓電力小計　　　　　,**,"13,013","3,139,988",,
114,內湖區,14高壓電力　　　　　　　,161,"140,748","60,634,396",,
114,內湖區,15特高壓電力　　　　　　,＊,"11,404","4,706,000",,
114,內湖區,16高＆特高壓電力小計　　,**,"152,152","65,340,396",,
114,內湖區,17電力小計　　　　　　　,**,"165,165","68,480,384",,
114,內湖區,18綜合＆電力小計　　　　,**,"325,792","110,912,217",,
114,內湖區,19電燈＆綜合＆電力小計　,**,"343,337","213,188,025",,
114,內湖區,20臨時電燈　　　　　　　,23,0,"24,780",,
114,內湖區,21臨時電力　　　　　　　,63,"4,126","715,684",,
114,內湖區,22臨時用電小計　　　　　,**,"4,126","740,464",,
114,內湖區,23總計（含臨時用電）　　,**,"343,337","213,928,489",,
114,內湖區,24表燈合計　　　　　　　,**,"17,545","102,300,588",,
114,內湖區,25綜合＆電力合計　　　　,**,"325,792","111,627,901",,
115,南港區,1表燈非營業用　　　　,"43,806",65,"26,728,663",,
115,南港區,2表燈營業用　　　　　　,"4,375","5,385","12,883,309",,
115,南港區,3表燈小計　　　　　　　,**,"5,450","39,611,972",,
115,南港區,4低壓綜合裝置非營業用　,＊,0,0,,
115,南港區,5低壓綜合需量非營業用　,354,"13,857","2,532,599",,
115,南港區,6低壓綜合非營業用電小計,**,"13,857","2,532,599",,
115,南港區,7低壓綜合裝置營業用　　,＊,0,0,,
115,南港區,8低壓綜合需量營業用　　,239,"12,368","3,596,928",,
115,南港區,9低壓綜合營業用電小計　,**,"12,368","3,596,928",,
115,南港區,10低壓綜合用電小計　　　,**,"26,225","6,129,527",,
115,南港區,11低壓裝置電力　　　　　,31,543,"72,181",,
115,南港區,12低壓需量電力　　　　　,158,"5,052","816,855",,
115,南港區,13低壓電力小計　　　　　,**,"5,595","889,036",,
115,南港區,14高壓電力　　　　　　　,88,"102,783","36,890,064",,
115,南港區,15特高壓電力　　　　　　,＊,"39,885","19,081,038",,
115,南港區,16高＆特高壓電力小計　　,**,"142,668","55,971,102",,
115,南港區,17電力小計　　　　　　　,**,"148,263","56,860,138",,
115,南港區,18綜合＆電力小計　　　　,**,"174,488","62,989,665",,
115,南港區,19電燈＆綜合＆電力小計　,**,"179,938","102,601,637",,
115,南港區,20臨時電燈　　　　　　　,10,0,"29,924",,
115,南港區,21臨時電力　　　　　　　,14,"1,151","258,746",,
115,南港區,22臨時用電小計　　　　　,**,"1,151","288,670",,
115,南港區,23總計（含臨時用電）　　,**,"179,938","102,890,307",,
115,南港區,24表燈合計　　　　　　　,**,"5,450","39,641,896",,
115,南港區,25綜合＆電力合計　　　　,**,"174,488","63,248,411",,
116,文山區,1表燈非營業用　　　　,"98,939",185,"46,328,340",,
116,文山區,2表燈營業用　　　　　　,"5,039","8,231","8,746,061",,
116,文山區,3表燈小計　　　　　　　,**,"8,416","55,074,401",,
116,文山區,4低壓綜合裝置非營業用　,＊,0,0,,
116,文山區,5低壓綜合需量非營業用　,775,"24,784","4,269,536",,
116,文山區,6低壓綜合非營業用電小計,**,"24,784","4,269,536",,
116,文山區,7低壓綜合裝置營業用　　,＊,74,"11,235",,
116,文山區,8低壓綜合需量營業用　　,316,"10,717","3,594,524",,
116,文山區,9低壓綜合營業用電小計　,**,"10,791","3,605,759",,
116,文山區,10低壓綜合用電小計　　　,**,"35,575","7,875,295",,
116,文山區,11低壓裝置電力　　　　　,30,318,"93,468",,
116,文山區,12低壓需量電力　　　　　,26,"1,013","174,736",,
116,文山區,13低壓電力小計　　　　　,**,"1,331","268,204",,
116,文山區,14高壓電力　　　　　　　,96,"44,663","13,588,047",,
116,文山區,15特高壓電力　　　　　　,＊,"23,950","10,640,204",,
116,文山區,16高＆特高壓電力小計　　,**,"68,613","24,228,251",,
116,文山區,17電力小計　　　　　　　,**,"69,944","24,496,455",,
116,文山區,18綜合＆電力小計　　　　,**,"105,519","32,371,750",,
116,文山區,19電燈＆綜合＆電力小計　,**,"113,935","87,446,151",,
116,文山區,20臨時電燈　　　　　　　,16,0,"35,046",,
116,文山區,21臨時電力　　　　　　　,23,"1,541","289,753",,
116,文山區,22臨時用電小計　　　　　,**,"1,541","324,799",,
116,文山區,23總計（含臨時用電）　　,**,"113,935","87,770,950",,
116,文山區,24表燈合計　　　　　　　,**,"8,416","55,109,447",,
116,文山區,25綜合＆電力合計　　　　,**,"105,519","32,661,503",,
200,仁愛區,1表燈非營業用　　　　,"22,667",370,"7,393,993",,
200,仁愛區,2表燈營業用　　　　　　,"3,231","5,067","5,169,401",,
200,仁愛區,3表燈小計　　　　　　　,**,"5,437","12,563,394",,
200,仁愛區,4低壓綜合裝置非營業用　,＊,0,0,,
200,仁愛區,5低壓綜合需量非營業用　,130,"3,840","564,095",,
200,仁愛區,6低壓綜合非營業用電小計,**,"3,840","564,095",,
200,仁愛區,7低壓綜合裝置營業用　　,＊,106,"15,411",,
200,仁愛區,8低壓綜合需量營業用　　,332,"10,478","3,139,601",,
200,仁愛區,9低壓綜合營業用電小計　,**,"10,584","3,155,012",,
200,仁愛區,10低壓綜合用電小計　　　,**,"14,424","3,719,107",,
200,仁愛區,11低壓裝置電力　　　　　,63,615,"148,537",,
200,仁愛區,12低壓需量電力　　　　　,13,393,"113,492",,
200,仁愛區,13低壓電力小計　　　　　,**,"1,008","262,029",,
200,仁愛區,14高壓電力　　　　　　　,25,"8,379","2,518,249",,
200,仁愛區,15特高壓電力　　　　　　,＊,0,0,,
200,仁愛區,16高＆特高壓電力小計　　,**,"8,379","2,518,249",,
200,仁愛區,17電力小計　　　　　　　,**,"9,387","2,780,278",,
200,仁愛區,18綜合＆電力小計　　　　,**,"23,811","6,499,385",,
200,仁愛區,19電燈＆綜合＆電力小計　,**,"29,248","19,062,779",,
200,仁愛區,20臨時電燈　　　　　　　,7,0,187,,
200,仁愛區,21臨時電力　　　　　　　,＊,99,"2,840",,
200,仁愛區,22臨時用電小計　　　　　,**,99,"3,027",,
200,仁愛區,23總計（含臨時用電）　　,**,"29,248","19,065,806",,
200,仁愛區,24表燈合計　　　　　　　,**,"5,437","12,563,581",,
200,仁愛區,25綜合＆電力合計　　　　,**,"23,811","6,502,225",,
201,信義區,1表燈非營業用　　　　,"24,883",262,"17,843,224",,
201,信義區,2表燈營業用　　　　　　,"1,146","1,711","3,081,132",,
201,信義區,3表燈小計　　　　　　　,**,"1,973","20,924,356",,
201,信義區,4低壓綜合裝置非營業用　,＊,0,0,,
201,信義區,5低壓綜合需量非營業用　,124,"4,812","941,270",,
201,信義區,6低壓綜合非營業用電小計,**,"4,812","941,270",,
201,信義區,7低壓綜合裝置營業用　　,＊,68,"21,800",,
201,信義區,8低壓綜合需量營業用　　,49,"2,788","944,222",,
201,信義區,9低壓綜合營業用電小計　,**,"2,856","966,022",,
201,信義區,10低壓綜合用電小計　　　,**,"7,668","1,907,292",,
201,信義區,11低壓裝置電力　　　　　,6,133,"60,120",,
201,信義區,12低壓需量電力　　　　　,19,760,"150,607",,
201,信義區,13低壓電力小計　　　　　,**,893,"210,727",,
201,信義區,14高壓電力　　　　　　　,33,"12,445","4,238,913",,
201,信義區,15特高壓電力　　　　　　,＊,0,0,,
201,信義區,16高＆特高壓電力小計　　,**,"12,445","4,238,913",,
201,信義區,17電力小計　　　　　　　,**,"13,338","4,449,640",,
201,信義區,18綜合＆電力小計　　　　,**,"21,006","6,356,932",,
201,信義區,19電燈＆綜合＆電力小計　,**,"22,979","27,281,288",,
201,信義區,20臨時電燈　　　　　　　,15,0,"5,388",,
201,信義區,21臨時電力　　　　　　　,＊,351,"97,952",,
201,信義區,22臨時用電小計　　　　　,**,351,"103,340",,
201,信義區,23總計（含臨時用電）　　,**,"22,979","27,384,628",,
201,信義區,24表燈合計　　　　　　　,**,"1,973","20,929,744",,
201,信義區,25綜合＆電力合計　　　　,**,"21,006","6,454,884",,
202,中正區,1表燈非營業用　　　　,"30,815",181,"19,352,394",,
202,中正區,2表燈營業用　　　　　　,"2,075","2,884","4,758,639",,
202,中正區,3表燈小計　　　　　　　,**,"3,065","24,111,033",,
202,中正區,4低壓綜合裝置非營業用　,＊,43,"7,080",,
202,中正區,5低壓綜合需量非營業用　,203,"8,556","1,637,270",,
202,中正區,6低壓綜合非營業用電小計,**,"8,599","1,644,350",,
202,中正區,7低壓綜合裝置營業用　　,＊,0,0,,
202,中正區,8低壓綜合需量營業用　　,120,"4,102","1,318,541",,
202,中正區,9低壓綜合營業用電小計　,**,"4,102","1,318,541",,
202,中正區,10低壓綜合用電小計　　　,**,"12,701","2,962,891",,
202,中正區,11低壓裝置電力　　　　　,40,436,"61,277",,
202,中正區,12低壓需量電力　　　　　,34,"1,339","323,802",,
202,中正區,13低壓電力小計　　　　　,**,"1,775","385,079",,
202,中正區,14高壓電力　　　　　　　,41,"22,125","7,821,655",,
202,中正區,15特高壓電力　　　　　　,＊,"7,000","1,796,673",,
202,中正區,16高＆特高壓電力小計　　,**,"29,125","9,618,328",,
202,中正區,17電力小計　　　　　　　,**,"30,900","10,003,407",,
202,中正區,18綜合＆電力小計　　　　,**,"43,601","12,966,298",,
202,中正區,19電燈＆綜合＆電力小計　,**,"46,666","37,077,331",,
202,中正區,20臨時電燈　　　　　　　,13,0,"64,633",,
202,中正區,21臨時電力　　　　　　　,7,329,"52,440",,
202,中正區,22臨時用電小計　　　　　,**,329,"117,073",,
202,中正區,23總計（含臨時用電）　　,**,"46,666","37,194,404",,
202,中正區,24表燈合計　　　　　　　,**,"3,065","24,175,666",,
202,中正區,25綜合＆電力合計　　　　,**,"43,601","13,018,738",,
203,中山區,1表燈非營業用　　　　,"21,868",74,"21,929",,
203,中山區,2表燈營業用　　　　　　,"1,074","1,232","525,832",,
203,中山區,3表燈小計　　　　　　　,**,"1,306","547,761",,
203,中山區,4低壓綜合裝置非營業用　,＊,0,0,,
203,中山區,5低壓綜合需量非營業用　,70,"2,249","331,056",,
203,中山區,6低壓綜合非營業用電小計,**,"2,249","331,056",,
203,中山區,7低壓綜合裝置營業用　　,＊,0,0,,
203,中山區,8低壓綜合需量營業用　　,40,"1,295","437,539",,
203,中山區,9低壓綜合營業用電小計　,**,"1,295","437,539",,
203,中山區,10低壓綜合用電小計　　　,**,"3,544","768,595",,
203,中山區,11低壓裝置電力　　　　　,17,226,"67,495",,
203,中山區,12低壓需量電力　　　　　,14,402,"96,688",,
203,中山區,13低壓電力小計　　　　　,**,628,"164,183",,
203,中山區,14高壓電力　　　　　　　,29,"15,378","3,623,032",,
203,中山區,15特高壓電力　　　　　　,＊,0,0,,
203,中山區,16高＆特高壓電力小計　　,**,"15,378","3,623,032",,
203,中山區,17電力小計　　　　　　　,**,"16,006","3,787,215",,
203,中山區,18綜合＆電力小計　　　　,**,"19,550","4,555,810",,
203,中山區,19電燈＆綜合＆電力小計　,**,"20,856","5,103,571",,
203,中山區,20臨時電燈　　　　　　　,8,0,0,,
203,中山區,21臨時電力　　　　　　　,＊,136,"11,440",,
203,中山區,22臨時用電小計　　　　　,**,136,"11,440",,
203,中山區,23總計（含臨時用電）　　,**,"20,856","5,115,011",,
203,中山區,24表燈合計　　　　　　　,**,"1,306","547,761",,
203,中山區,25綜合＆電力合計　　　　,**,"19,550","4,567,250",,
